"Read Details","Cititi detalii","module","Magento_AdminNotification"
"Mark as Read","Marcare ca Citit","module","Magento_AdminNotification"
"Are you sure?","Sunteti sigur?","module","Magento_AdminNotification"
"Remove","Eliminati","module","Magento_AdminNotification"
"Messages Inbox","Mesaje primite","module","Magento_AdminNotification"
"You have %1 new system messages","Aveti %1 mesaje de sistem noi","module","Magento_AdminNotification"
"You have %1 new system message","Aveti %1 mesaj de sistem nou","module","Magento_AdminNotification"
"Incoming Message","Mesaj primit","module","Magento_AdminNotification"
"close","inchideti","module","Magento_AdminNotification"
"Notifications","Notificari","module","Magento_AdminNotification"
"The message has been marked as Read.","Mesajul a fost marcat ca Citit.","module","Magento_AdminNotification"
"We couldn't mark the notification as Read because of an error.","Nu s-a putut marca notificarea ca Citita din cauza unei erori.","module","Magento_AdminNotification"
"Please select messages.","Selectati mesajele.","module","Magento_AdminNotification"
"A total of %1 record(s) have been marked as Read.","Un total de %1 documente(e) au fost marcate ca Citite.","module","Magento_AdminNotification"
"Total of %1 record(s) have been removed.","Un total de %1 documente(e) au fost eliminate.","module","Magento_AdminNotification"
"We couldn't remove the messages because of an error.","Nu s-a putut elimina mesajul din cauza unei erori .","module","Magento_AdminNotification"
"The message has been removed.","Mesajul a fost eliminat.","module","Magento_AdminNotification"
"1 Hour","1 ora","module","Magento_AdminNotification"
"2 Hours","2 ore","module","Magento_AdminNotification"
"6 Hours","6 ore","module","Magento_AdminNotification"
"12 Hours","12 ore","module","Magento_AdminNotification"
"24 Hours","24 ore","module","Magento_AdminNotification"
"critical","critic","module","Magento_AdminNotification"
"major","important","module","Magento_AdminNotification"
"minor","neimportant","module","Magento_AdminNotification"
"notice","instiintare","module","Magento_AdminNotification"
"Wrong message type","Tip de mesaj greşit","module","Magento_AdminNotification"
"Wrong notification ID specified.","ID de notificare gresit specificat.","module","Magento_AdminNotification"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} nu se recomanda folosirea in medii de productie declararea Baza URL Nesigura/ Baza URL sigura. Recomandam schimbarea acestei valori in sistemul dumneavoastra Magento <a href=""%1"">configuration</a>.","module","Magento_AdminNotification"
"One or more of the Cache Types are invalidated: %1.","Unul sau mai multe Tipuri Cache sunt nevalide: %1.","module","Magento_AdminNotification"
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Mergeti la <a href=""%1"">Cache Management</a> si reimprospatati tipurile cache.","module","Magento_AdminNotification"
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Nu s-au putut sincroniza unul sau mai multe fisiere media. Consultati fisierul-jurnal pentru detalii.","module","Magento_AdminNotification"
"Synchronization of media storages has been completed.","Sincronizarea pentru stocare media a fost finalizata.","module","Magento_AdminNotification"
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Serverul dumneavoastra web este setat incorect si permite accesul neautorizat la fisiere sensibile. Contactati furnizorul dumneavoastra de servicii de stocare.","module","Magento_AdminNotification"
"Close popup","inchide popup","module","Magento_AdminNotification"
"Close","inchide","module","Magento_AdminNotification"
"System Messages:","Mesaje de sistem:","module","Magento_AdminNotification"
"Critical System Messages","Mesaje de sistem critice","module","Magento_AdminNotification"
"Major System Messages","Mesaj de sistem important","module","Magento_AdminNotification"
"System messages","Mesaje de sistem","module","Magento_AdminNotification"
"See All (","Vizualizati toate (","module","Magento_AdminNotification"
"unread)","necitite)","module","Magento_AdminNotification"
"Use HTTPS to Get Feed","Utilizati HTTPS pentru obtinerea fluxului de informatii","module","Magento_AdminNotification"
"Update Frequency","Actualizati frecventa","module","Magento_AdminNotification"
"Last Update","Ultima actualizare","module","Magento_AdminNotification"
"Severity","Rigurozitate","module","Magento_AdminNotification"
"Date Added","Data adaugare","module","Magento_AdminNotification"
"Message","Mesaj","module","Magento_AdminNotification"
"Actions","Actiuni","module","Magento_AdminNotification"
"Please correct the data sent.","Corectati informatia trimisa.","module","Magento_AdvancedPricingImportExport"
"Entity type model '%1' is not found","Modelul de tip entitate '%1' nu este gasit.","module","Magento_AdvancedPricingImportExport"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Modelul de tip entitate trebuie sa fie o versiune a \Magento\CatalogImportExport\Model\Export\Produs\Tip\TipAbstract","module","Magento_AdvancedPricingImportExport"
"There are no product types available for export","Nu exista tipuri de produs disponibile pentru export.","module","Magento_AdvancedPricingImportExport"
"We can't find the role for the user you wanted.","Nu se poate gasi rolul pentru utilizatorul dorit de dumneavoastra.","module","Magento_Authorization"
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","A avut loc o eroare in timpul compilarii unei liste cu resurse permise. Puteti afla detalii in jurnalul de exceptii.","module","Magento_Authorization"
"You created the order.","Ati plasat comanda.","module","Magento_Authorizenet"
"Order saving error: %1","Eroare salvare comanda: %1","module","Magento_Authorizenet"
"Please choose a payment method.","Alegeti modalitatea de plata.","module","Magento_Authorizenet"
